Time resolution is 1 ps
A   B   |   Product (M)
-----------------------
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
00  x  10  |   0000  (decimal 0)
00  x  11  |   0000  (decimal 0)
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
00  x  10  |   0000  (decimal 0)
00  x  11  |   0000  (decimal 0)
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
01  x  10  |   0010  (decimal 2)
01  x  11  |   0011  (decimal 3)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
01  x  10  |   0010  (decimal 2)
01  x  11  |   0011  (decimal 3)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
10  x  00  |   0000  (decimal 0)
10  x  01  |   0010  (decimal 2)
10  x  10  |   0100  (decimal 4)
10  x  11  |   0110  (decimal 6)
10  x  00  |   0000  (decimal 0)
10  x  01  |   0010  (decimal 2)
10  x  10  |   0100  (decimal 4)
10  x  11  |   0110  (decimal 6)
10  x  00  |   0000  (decimal 0)
10  x  01  |   0010  (decimal 2)
11  x  00  |   0000  (decimal 0)
11  x  01  |   0011  (decimal 3)
11  x  10  |   0110  (decimal 6)
11  x  11  |   1001  (decimal 9)
11  x  00  |   0000  (decimal 0)
11  x  01  |   0011  (decimal 3)
11  x  10  |   0110  (decimal 6)
11  x  11  |   1001  (decimal 9)
11  x  00  |   0000  (decimal 0)
11  x  01  |   0011  (decimal 3)
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
00  x  10  |   0000  (decimal 0)
00  x  11  |   0000  (decimal 0)
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
00  x  10  |   0000  (decimal 0)
00  x  11  |   0000  (decimal 0)
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
01  x  10  |   0010  (decimal 2)
01  x  11  |   0011  (decimal 3)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
01  x  10  |   0010  (decimal 2)
01  x  11  |   0011  (decimal 3)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
10  x  00  |   0000  (decimal 0)
10  x  01  |   0010  (decimal 2)
10  x  10  |   0100  (decimal 4)
10  x  11  |   0110  (decimal 6)
10  x  00  |   0000  (decimal 0)
10  x  01  |   0010  (decimal 2)
10  x  10  |   0100  (decimal 4)
10  x  11  |   0110  (decimal 6)
10  x  00  |   0000  (decimal 0)
10  x  01  |   0010  (decimal 2)
11  x  00  |   0000  (decimal 0)
11  x  01  |   0011  (decimal 3)
11  x  10  |   0110  (decimal 6)
11  x  11  |   1001  (decimal 9)
11  x  00  |   0000  (decimal 0)
11  x  01  |   0011  (decimal 3)
11  x  10  |   0110  (decimal 6)
11  x  11  |   1001  (decimal 9)
11  x  00  |   0000  (decimal 0)
11  x  01  |   0011  (decimal 3)
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
00  x  10  |   0000  (decimal 0)
00  x  11  |   0000  (decimal 0)
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
00  x  10  |   0000  (decimal 0)
00  x  11  |   0000  (decimal 0)
00  x  00  |   0000  (decimal 0)
00  x  01  |   0000  (decimal 0)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
01  x  10  |   0010  (decimal 2)
01  x  11  |   0011  (decimal 3)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
01  x  10  |   0010  (decimal 2)
01  x  11  |   0011  (decimal 3)
01  x  00  |   0000  (decimal 0)
01  x  01  |   0001  (decimal 1)
-----------------------
Test Completed.
$stop called at time : 1 us : File "D:/Ayush/projects/DSD/Lab_7/vedic_multiplier/vedic_multiplier.srcs/sim_1/new/vedic_multiplier_tb.v" Line 57
